taxa	HCC118	HCC121	HCC108	HCC119	HCC111	HCC103	HCC126	HCC113	HCC117	HCC106	HCC120	HCC124	HCC122	HCC107	HCC109	HCC125	HCC115	HCC114	HCC102	combined	HCC110	HCC101	HCC116	HCC112	HCC105	HCC123	HCC104	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.51759	1.91111	0.62878	1.79065	2.52477	1.32734	1.02589	0.52308	1.30343	1.34067	0.34939	1.17466	1.70329	0.47955	0.60394	3.27291	1.80587	0.30872	0.56738	1.91111	1.24864	1.08349	1.37554	1.57027	1.81035	3.07763	0.52225	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	11.25204	10.3643	1.23235	7.62931	13.2496	4.38443	5.56775	0.59773	19.90669	5.74571	2.2955	22.2056	5.74827	2.58495	4.03185	20.77563	0	0.22201	2.85214	10.3643	4.04444	9.45033	0	4.36501	14.58941	41.07403	3.01959	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	48.50652	8.22303	55.50829	29.84851	39.80293	75.46909	67.63775	41.8075	17.39547	78.3728	79.59101	51.77489	11.88025	65.35523	72.38643	25.69796	91.32174	88.36054	76.02267	8.22303	58.87447	24.66175	92.03344	78.59698	21.28864	22.14578	62.66817	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	47.42674	4.38494	50.22062	28.29994	38.72243	72.29451	64.9964	38.92466	17.02134	74.79318	74.82594	50.55417	0.95744	63.16664	69.0741	25.0643	86.11772	84.4769	71.2548	0	53.3764	22.7885	86.49293	76.05969	20.18935	21.6964	59.36973	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0	0	0.01903	0.00469	0	0.01567	0.00355	0	0.00046	0.00896	0.0039	0.00425	0.03558	0.00276	0.00853	0	0.00696	0.00348	0.03302	0	0.01336	0.01113	0.01966	0.00755	0.00221	0	0.01908	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	0.2108	0.1353	0.07184	0.13898	0.24924	0.01702	1.09931	0	0.37463	0.00276	0.04367	3.9415	0.19872	0.12937	0.02396	5.05719	0	0	0.01773	0.1353	0.02448	0.17121	0	0.05015	0.0948	4.09891	0.00485	
k__Bacteria|p__Actinobacteria	5.6896	14.53852	0.85152	5.37555	7.62334	2.307	5.07745	0.81712	7.55539	1.93999	1.17576	7.34876	15.70914	0.72302	1.04504	12.4123	2.17477	0.33086	1.23107	14.53852	2.04362	2.88941	1.64775	4.13042	3.12499	12.15823	1.20087	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	6.23701	0.63679	4.54377	4.85191	2.90216	6.64773	0	16.82784	12.50795	5.74428	1.41732	0.00537	0	8.60831	4.8714	0	0	2.05812	5.53627	0.63679	3.45584	16.41968	0	0.52979	27.8874	0.00635	13.44013	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	0.08437	0.06563	0.8032	0.11964	0.15969	0.0578	0.47626	0.36323	0.03663	0.08294	0.22538	0.01281	0.07209	0.35703	0.30204	0.05509	0.06524	0.41517	0.27869	0.06563	0.4544	0.19435	0.14364	0.46599	0.0092	0.00378	0.16637	
